name,price,url,destination,duration,aHref,hrefTags,hotel,flight,category,caption
Hotel Shanker Kathmandu,,https://maps.googleapis.com/maps/api/place/photo?photo_reference=ATplDJagZyu-0EzCJMdMD6cmk5V-Y_BRkKqJqb2XS3qD9tslPm57wPfSyVGzphVjhOXGEZeSEaQJaCpyqyMLCBgA_HBC4Mc6O3_P_EmMDkshjliNsYn0GwEED3jwu4K5pyMo9H3PCEgs9NERP00JLfLHRrReEomFigpUSi7mAUVqVhpS_h8n&key=%PLACES_API_KEY%&maxwidth=1024,Kathmandu,,,,,,,Hotel Shanker Kathmandu tourist attraction lodging point of interest establishment
Dhaneshwor Mahadev Temple,,https://maps.googleapis.com/maps/api/place/photo?photo_reference=ATplDJYKe0RbexYVP8DA8X-HDsGSwPHN7U-izZZuKk88RghsOpmKMAiK2iLZ0rq-AP7ECNg6g5VqqlS92UDczh22HOLzLw3D2t__FHGoJnG9qdQicpMVn5Y7EMbG0Q2qKQjBqhsYsgP7cQfQmHe7d2rODS8MLtWk-lU2Neff7WiIsozxvHgy&key=%PLACES_API_KEY%&maxwidth=1024,,,,,,,,Dhaneshwor Mahadev Temple hindu temple tourist attraction place of worship point of interest establishment
Kopan Monastery,,https://maps.googleapis.com/maps/api/place/photo?photo_reference=ATplDJaElGMpsNlavOYNT8226awaZh8_IySZBXn-oSdphB5cNLHR9duPpMcEaLwJ6WpleUNH-OSln6PsrKyRDvRyQafIBCqhTgHB9A6y_UCxbmKAH2iOUcCU6SwO4fmfCaPCDMZK3CoNAV8l-g14Bp2lYHh0TH8SutYwWoAe2X5ugO4f3Ijm&key=%PLACES_API_KEY%&maxwidth=1024,Budhanilkantha,,,,,,,Kopan Monastery tourist attraction place of worship point of interest establishment
Bungadyo/Rato Machhendranath Temple,,https://maps.googleapis.com/maps/api/place/photo?photo_reference=ATplDJY4EcMU5k3rGf2jwVfmpYSH4qbk88wSJOOcDass65dXp0EMLds_bgHRr7OqPaoSAEli7-jLbQZ-Pde4benHuFDZ3wZQm-6ni-Uxv8fVvHXAKGKQmF3YqTnDQYImaHp9D6jiNNs1Rlr6uWg8rY0rNA0l4qF3KakraUfW3opUU_1eeGVy&key=%PLACES_API_KEY%&maxwidth=1024,Karyabinayak,,,,,,,Bungadyo/Rato Machhendranath Temple tourist attraction place of worship point of interest establishment
Patan Community Homestay,,https://maps.googleapis.com/maps/api/place/photo?photo_reference=ATplDJY8sEf-tSO3xg1-2Xs3y8NxPXSrVMSWiiDTTcko8rfcTrqqWpS8dT6hPhThTmh8c5c8t2JSzZ4_P37qd2gGDCetBUWMvZTLsYl4uDgGpPb5soAsymMJ09iVuhX_VaBGA-K6f2Ynypu16E4aoixprXD7cNVuasskvmI8-QLjBWt7AewJ&key=%PLACES_API_KEY%&maxwidth=1024,Lalitpur,,,,,,,Patan Community Homestay tourist attraction lodging point of interest establishment
Kailashnath Mahadev Statue,,https://maps.googleapis.com/maps/api/place/photo?photo_reference=ATplDJZSK5KENv37eKaziccD5fK4huvmphXURydldNOv-pDXnfaTx6oSMUfFiTF7Q5j8m6G8FYdT29Xy74B8ntMOvRoI2sZRTGIq4ObFkaJ0mUeSSTvf2jBDu7nvLudjV0TPMwKbVkcbjQgemsnMtQtWcAdw9MoPyfY_dfqGamrEQeQ3Mtrs&key=%PLACES_API_KEY%&maxwidth=1024,सुर्यविनायक,,,,,,,Kailashnath Mahadev Statue hindu temple tourist attraction place of worship point of interest establishment
The Peacock Shop,,https://maps.googleapis.com/maps/api/place/photo?photo_reference=ATplDJZBMbjFkzzaStN6O2LuFHRDBdEXkziGE4rDMET4MxE_D58vuFqgHc7oiT_NSG14xrZpPEzX82KEL9n6jfQM8p3lL3MR4YEl6WXGC7Lx5BqF1lwIJaj5yMJ7lRFH571akXvibypQh5Niw5IKt_XbTaMXI_rv5CI9z41EW6fTFWhr7ydi&key=%PLACES_API_KEY%&maxwidth=1024,भक्तपुर,,,,,,,The Peacock Shop tourist attraction museum store place of worship point of interest establishment
Gyaneshwor Community Park,,https://maps.googleapis.com/maps/api/place/photo?photo_reference=ATplDJajKeZYcjzXPm6TstbvZuMAnpGT-9J4bGkcqwnR-Vez8u8-ZdN-5bQcv5R15zOb9GKSYYrJmwIGbTQ4BgC3FXopAsoMKsUBbwyD825vgNxBdImCVz8_brSNF9OwxCKv1nW6SuCk_9s7s1HLPABjXQL75EfCUM87Cv1tHDHmm_Mm1Mvu&key=%PLACES_API_KEY%&maxwidth=1024,Kathmandu,,,,,,,Gyaneshwor Community Park park tourist attraction point of interest establishment
Kathmandu Fun Valley,,https://maps.googleapis.com/maps/api/place/photo?photo_reference=ATplDJYbxLpl7AbVIb1DhcHQQSMqEDKzUTLziREd5c54TgTaEZAbNyJZqSAXKaKaFNc2sdbxEYtI5NAH9DcHtTU4bWG_mM2jDip7qUl6J4f62xY4bDRXxyIfbzM9D51v07oT093CERqFKX1fJ3c4m-ENVVxSTLVC3RwFlsfZwptc47WxiHHj&key=%PLACES_API_KEY%&maxwidth=1024,Suryabinayak,,,,,,,Kathmandu Fun Valley tourist attraction amusement park point of interest establishment
Handigaun,,https://maps.googleapis.com/maps/api/place/photo?photo_reference=ATplDJZMxvdvfn3aDneiDyOjgf2SoEOYs6GcP9L5NrR8SWpRoIyaFn-IXYK8rxxcJsCirTL-lb6B_LB22aAJCO9W2hfVRGWKWwWkQN1NfvlBOiBvlVUtVMgvOUqmy2Z6aIEk039-wg7ssgoJ6eRwl_9FcgyuxgggCEYrOZkKsoQ92TA3UiCj&key=%PLACES_API_KEY%&maxwidth=1024,Kathmandu,,,,,,,Handigaun tourist attraction point of interest establishment
